primera evaluacion f(0.198283, -1.19003) = 2.27549
evaluacion 72: f(-0.0868343, 0.713124) = -1.03159
evaluacion 73: f(-0.0868343, 0.713124) = -1.03159
evaluacion 74: f(-0.0868343, 0.713124) = -1.03159
evaluacion 75: f(-0.0890277, 0.713932) = -1.03161
evaluacion 76: f(-0.0890277, 0.713932) = -1.03161
evaluacion 77: f(-0.0890277, 0.713932) = -1.03161
evaluacion 78: f(-0.0886829, 0.713352) = -1.03162
evaluacion 79: f(-0.0886829, 0.713352) = -1.03162
evaluacion 80: f(-0.0896456, 0.712486) = -1.03163
evaluacion 81: f(-0.0896456, 0.712486) = -1.03163
evaluacion 82: f(-0.0896456, 0.712486) = -1.03163
evaluacion 83: f(-0.0896456, 0.712486) = -1.03163
evaluacion 84: f(-0.0896456, 0.712486) = -1.03163
evaluacion 85: f(-0.0896456, 0.712486) = -1.03163
evaluacion 86: f(-0.0896456, 0.712486) = -1.03163
evaluacion 87: f(-0.0896456, 0.712486) = -1.03163
evaluacion 88: f(-0.0896456, 0.712486) = -1.03163
evaluacion 89: f(-0.0896456, 0.712486) = -1.03163
evaluacion 90: f(-0.0896456, 0.712486) = -1.03163
evaluacion 91: f(-0.0896456, 0.712486) = -1.03163
evaluacion 92: f(-0.0896456, 0.712486) = -1.03163
evaluacion 93: f(-0.0896456, 0.712486) = -1.03163
evaluacion 94: f(-0.0896456, 0.712486) = -1.03163
evaluacion 95: f(-0.0896456, 0.712486) = -1.03163
evaluacion 96: f(-0.0896456, 0.712486) = -1.03163
evaluacion 97: f(-0.0896456, 0.712486) = -1.03163
evaluacion 98: f(-0.0896456, 0.712486) = -1.03163
evaluacion 99: f(-0.0896456, 0.712486) = -1.03163
