primera evaluacion f(0.64033, -1.2786) = 4.64248
evaluacion 55: f(-0.0971697, 0.701847) = -1.0304
evaluacion 56: f(-0.0971697, 0.701847) = -1.0304
evaluacion 57: f(-0.0971697, 0.701847) = -1.0304
evaluacion 58: f(-0.0971697, 0.701847) = -1.0304
evaluacion 59: f(-0.0971697, 0.701847) = -1.0304
evaluacion 60: f(-0.0971697, 0.701847) = -1.0304
evaluacion 61: f(-0.0971697, 0.701847) = -1.0304
evaluacion 62: f(-0.0971697, 0.701847) = -1.0304
evaluacion 63: f(-0.0971697, 0.701847) = -1.0304
evaluacion 64: f(-0.0971697, 0.701847) = -1.0304
evaluacion 65: f(-0.0971697, 0.701847) = -1.0304
evaluacion 66: f(-0.0971697, 0.701847) = -1.0304
evaluacion 67: f(-0.0971697, 0.701847) = -1.0304
evaluacion 68: f(-0.0971697, 0.701847) = -1.0304
evaluacion 69: f(-0.0971697, 0.701847) = -1.0304
evaluacion 70: f(-0.0971697, 0.701847) = -1.0304
evaluacion 71: f(-0.0971697, 0.701847) = -1.0304
evaluacion 72: f(-0.0971697, 0.701847) = -1.0304
evaluacion 73: f(-0.0971697, 0.701847) = -1.0304
evaluacion 74: f(-0.0971697, 0.701847) = -1.0304
evaluacion 75: f(-0.0971697, 0.701847) = -1.0304
evaluacion 76: f(-0.0971697, 0.701847) = -1.0304
evaluacion 77: f(-0.0971697, 0.701847) = -1.0304
evaluacion 78: f(-0.0971697, 0.701847) = -1.0304
evaluacion 79: f(-0.0971697, 0.701847) = -1.0304
evaluacion 80: f(-0.0971697, 0.701847) = -1.0304
evaluacion 81: f(-0.0971697, 0.701847) = -1.0304
evaluacion 82: f(-0.0788439, 0.703441) = -1.03057
evaluacion 83: f(-0.0788439, 0.703441) = -1.03057
evaluacion 84: f(-0.0788439, 0.703441) = -1.03057
evaluacion 85: f(-0.0788439, 0.703441) = -1.03057
evaluacion 86: f(-0.0788439, 0.703441) = -1.03057
evaluacion 87: f(-0.0788439, 0.703441) = -1.03057
evaluacion 88: f(-0.0788439, 0.703441) = -1.03057
evaluacion 89: f(-0.0788439, 0.703441) = -1.03057
evaluacion 90: f(-0.0788439, 0.703441) = -1.03057
evaluacion 91: f(-0.0788439, 0.703441) = -1.03057
evaluacion 92: f(-0.0788439, 0.703441) = -1.03057
evaluacion 93: f(-0.0937421, 0.705779) = -1.03116
evaluacion 94: f(-0.0937421, 0.705779) = -1.03116
evaluacion 95: f(-0.0937421, 0.705779) = -1.03116
evaluacion 96: f(-0.0937421, 0.705779) = -1.03116
evaluacion 97: f(-0.0937421, 0.705779) = -1.03116
evaluacion 98: f(-0.0937421, 0.705779) = -1.03116
evaluacion 99: f(-0.0937421, 0.705779) = -1.03116
