primera evaluacion f(-0.182426, 0.969845) = -0.269608
evaluacion 56: f(0.0881296, -0.716367) = -1.0315
evaluacion 57: f(0.0881296, -0.716367) = -1.0315
evaluacion 58: f(0.0881296, -0.716367) = -1.0315
evaluacion 59: f(0.0881296, -0.716367) = -1.0315
evaluacion 60: f(0.0866323, -0.712689) = -1.03159
evaluacion 61: f(0.0866323, -0.712689) = -1.03159
evaluacion 62: f(0.0866323, -0.712689) = -1.03159
evaluacion 63: f(0.0866323, -0.712689) = -1.03159
evaluacion 64: f(0.0866323, -0.712689) = -1.03159
evaluacion 65: f(0.0866323, -0.712689) = -1.03159
evaluacion 66: f(0.0902004, -0.713138) = -1.03163
evaluacion 67: f(0.0902004, -0.713138) = -1.03163
evaluacion 68: f(0.0902004, -0.713138) = -1.03163
evaluacion 69: f(0.0902004, -0.713138) = -1.03163
evaluacion 70: f(0.0902004, -0.713138) = -1.03163
evaluacion 71: f(0.0895349, -0.712936) = -1.03163
evaluacion 72: f(0.0895349, -0.712936) = -1.03163
evaluacion 73: f(0.0895349, -0.712936) = -1.03163
evaluacion 74: f(0.0895349, -0.712936) = -1.03163
evaluacion 75: f(0.0895349, -0.712936) = -1.03163
evaluacion 76: f(0.0895349, -0.712936) = -1.03163
evaluacion 77: f(0.0895349, -0.712936) = -1.03163
evaluacion 78: f(0.0895349, -0.712936) = -1.03163
evaluacion 79: f(0.0895349, -0.712936) = -1.03163
evaluacion 80: f(0.0895349, -0.712936) = -1.03163
evaluacion 81: f(0.0895349, -0.712936) = -1.03163
evaluacion 82: f(0.0895349, -0.712936) = -1.03163
evaluacion 83: f(0.0895349, -0.712936) = -1.03163
evaluacion 84: f(0.0895349, -0.712936) = -1.03163
evaluacion 85: f(0.0895349, -0.712936) = -1.03163
evaluacion 86: f(0.0895349, -0.712936) = -1.03163
evaluacion 87: f(0.0895349, -0.712936) = -1.03163
evaluacion 88: f(0.0895013, -0.712783) = -1.03163
evaluacion 89: f(0.0895013, -0.712783) = -1.03163
evaluacion 90: f(0.0895013, -0.712783) = -1.03163
evaluacion 91: f(0.0895173, -0.712607) = -1.03163
evaluacion 92: f(0.0895173, -0.712607) = -1.03163
evaluacion 93: f(0.0895173, -0.712607) = -1.03163
evaluacion 94: f(0.0895173, -0.712607) = -1.03163
evaluacion 95: f(0.0895173, -0.712607) = -1.03163
evaluacion 96: f(0.0895173, -0.712607) = -1.03163
evaluacion 97: f(0.0896629, -0.712578) = -1.03163
evaluacion 98: f(0.0896629, -0.712578) = -1.03163
evaluacion 99: f(0.0896629, -0.712578) = -1.03163
