primera evaluacion f(-0.117918, 0.596106) = -0.931376
evaluacion 45: f(-0.0233997, 0.70399) = -1.01421
evaluacion 46: f(-0.0233997, 0.70399) = -1.01421
evaluacion 47: f(-0.0233997, 0.70399) = -1.01421
evaluacion 48: f(-0.0595261, 0.698747) = -1.02689
evaluacion 49: f(-0.0595261, 0.698747) = -1.02689
evaluacion 50: f(-0.0595261, 0.698747) = -1.02689
evaluacion 51: f(-0.0595261, 0.698747) = -1.02689
evaluacion 52: f(-0.0595261, 0.698747) = -1.02689
evaluacion 53: f(-0.0667958, 0.698075) = -1.02818
evaluacion 54: f(-0.0667958, 0.698075) = -1.02818
evaluacion 55: f(-0.0667958, 0.698075) = -1.02818
evaluacion 56: f(-0.0667958, 0.698075) = -1.02818
evaluacion 57: f(-0.0667958, 0.698075) = -1.02818
evaluacion 58: f(-0.0667958, 0.698075) = -1.02818
evaluacion 59: f(-0.0667958, 0.698075) = -1.02818
evaluacion 60: f(-0.0667958, 0.698075) = -1.02818
evaluacion 61: f(-0.0667958, 0.698075) = -1.02818
evaluacion 62: f(-0.0667958, 0.698075) = -1.02818
evaluacion 63: f(-0.0667958, 0.698075) = -1.02818
evaluacion 64: f(-0.0667958, 0.698075) = -1.02818
evaluacion 65: f(-0.0667958, 0.698075) = -1.02818
evaluacion 66: f(-0.0654742, 0.702236) = -1.02868
evaluacion 67: f(-0.0664723, 0.704) = -1.02909
evaluacion 68: f(-0.0664723, 0.704) = -1.02909
evaluacion 69: f(-0.0664723, 0.704) = -1.02909
evaluacion 70: f(-0.0711137, 0.702725) = -1.02965
evaluacion 71: f(-0.0711137, 0.702725) = -1.02965
evaluacion 72: f(-0.0716199, 0.707952) = -1.03024
evaluacion 73: f(-0.0716199, 0.707952) = -1.03024
evaluacion 74: f(-0.0716199, 0.707952) = -1.03024
evaluacion 75: f(-0.0716199, 0.707952) = -1.03024
evaluacion 76: f(-0.0716199, 0.707952) = -1.03024
evaluacion 77: f(-0.0716199, 0.707952) = -1.03024
evaluacion 78: f(-0.0732208, 0.709299) = -1.03051
evaluacion 79: f(-0.0732208, 0.709299) = -1.03051
evaluacion 80: f(-0.0732208, 0.709299) = -1.03051
evaluacion 81: f(-0.0733841, 0.709722) = -1.03055
evaluacion 82: f(-0.0745319, 0.70903) = -1.03066
evaluacion 83: f(-0.0745319, 0.70903) = -1.03066
evaluacion 84: f(-0.0764584, 0.709188) = -1.03088
evaluacion 85: f(-0.0764584, 0.709188) = -1.03088
evaluacion 86: f(-0.0764584, 0.709188) = -1.03088
evaluacion 87: f(-0.0765547, 0.709707) = -1.03091
evaluacion 88: f(-0.0791001, 0.707918) = -1.03105
evaluacion 89: f(-0.0791001, 0.707918) = -1.03105
evaluacion 90: f(-0.0791001, 0.707918) = -1.03105
evaluacion 91: f(-0.079842, 0.70883) = -1.03116
evaluacion 92: f(-0.079842, 0.70883) = -1.03116
evaluacion 93: f(-0.079842, 0.70883) = -1.03116
evaluacion 94: f(-0.0840137, 0.705924) = -1.03117
evaluacion 95: f(-0.0836613, 0.708448) = -1.03136
evaluacion 96: f(-0.0927088, 0.715835) = -1.03152
evaluacion 97: f(-0.0905788, 0.712822) = -1.03163
evaluacion 98: f(-0.0905788, 0.712822) = -1.03163
evaluacion 99: f(-0.0905788, 0.712822) = -1.03163
