primera evaluacion f(1.77929, -0.925499) = 0.0544005
evaluacion 48: f(0.0875311, -0.710625) = -1.03158
evaluacion 49: f(0.0875311, -0.710625) = -1.03158
evaluacion 50: f(0.0875311, -0.710625) = -1.03158
evaluacion 51: f(0.0875311, -0.710625) = -1.03158
evaluacion 52: f(0.0875311, -0.710625) = -1.03158
evaluacion 53: f(0.0875311, -0.710625) = -1.03158
evaluacion 54: f(0.0875311, -0.710625) = -1.03158
evaluacion 55: f(0.0875311, -0.710625) = -1.03158
evaluacion 56: f(0.0875311, -0.710625) = -1.03158
evaluacion 57: f(0.0875311, -0.710625) = -1.03158
evaluacion 58: f(0.0875311, -0.710625) = -1.03158
evaluacion 59: f(0.0875311, -0.710625) = -1.03158
evaluacion 60: f(0.0875311, -0.710625) = -1.03158
evaluacion 61: f(0.0875311, -0.710625) = -1.03158
evaluacion 62: f(0.0875311, -0.710625) = -1.03158
evaluacion 63: f(0.0875311, -0.710625) = -1.03158
evaluacion 64: f(0.0875311, -0.710625) = -1.03158
evaluacion 65: f(0.0875311, -0.710625) = -1.03158
evaluacion 66: f(0.090416, -0.711109) = -1.03161
evaluacion 67: f(0.090416, -0.711109) = -1.03161
evaluacion 68: f(0.090416, -0.711109) = -1.03161
evaluacion 69: f(0.090416, -0.711109) = -1.03161
evaluacion 70: f(0.090416, -0.711109) = -1.03161
evaluacion 71: f(0.090416, -0.711109) = -1.03161
evaluacion 72: f(0.090416, -0.711109) = -1.03161
evaluacion 73: f(0.090416, -0.711109) = -1.03161
evaluacion 74: f(0.090416, -0.711109) = -1.03161
evaluacion 75: f(0.0881665, -0.711933) = -1.03161
evaluacion 76: f(0.0894753, -0.713159) = -1.03163
evaluacion 77: f(0.0906071, -0.71256) = -1.03163
evaluacion 78: f(0.0895555, -0.712253) = -1.03163
evaluacion 79: f(0.0895555, -0.712253) = -1.03163
evaluacion 80: f(0.0895555, -0.712253) = -1.03163
evaluacion 81: f(0.0895555, -0.712253) = -1.03163
evaluacion 82: f(0.0895555, -0.712253) = -1.03163
evaluacion 83: f(0.0895555, -0.712253) = -1.03163
evaluacion 84: f(0.0899107, -0.712916) = -1.03163
evaluacion 85: f(0.0899107, -0.712916) = -1.03163
evaluacion 86: f(0.0899107, -0.712916) = -1.03163
evaluacion 87: f(0.0899107, -0.712916) = -1.03163
evaluacion 88: f(0.0899107, -0.712916) = -1.03163
evaluacion 89: f(0.0899107, -0.712916) = -1.03163
evaluacion 90: f(0.0899107, -0.712916) = -1.03163
evaluacion 91: f(0.0899107, -0.712916) = -1.03163
evaluacion 92: f(0.0899107, -0.712916) = -1.03163
evaluacion 93: f(0.0899107, -0.712916) = -1.03163
evaluacion 94: f(0.0899107, -0.712916) = -1.03163
evaluacion 95: f(0.0899107, -0.712916) = -1.03163
evaluacion 96: f(0.0899107, -0.712916) = -1.03163
evaluacion 97: f(0.0899107, -0.712916) = -1.03163
evaluacion 98: f(0.0899107, -0.712916) = -1.03163
evaluacion 99: f(0.0899107, -0.712916) = -1.03163
