primera evaluacion f(1.84379, 0.684678) = 2.69109
evaluacion 70: f(-0.0930438, 0.70905) = -1.03147
evaluacion 71: f(-0.0930438, 0.70905) = -1.03147
evaluacion 72: f(-0.0930438, 0.70905) = -1.03147
evaluacion 73: f(-0.0930438, 0.70905) = -1.03147
evaluacion 74: f(-0.0930438, 0.70905) = -1.03147
evaluacion 75: f(-0.0930438, 0.70905) = -1.03147
evaluacion 76: f(-0.0930438, 0.70905) = -1.03147
evaluacion 77: f(-0.0930438, 0.70905) = -1.03147
evaluacion 78: f(-0.0930438, 0.70905) = -1.03147
evaluacion 79: f(-0.0930438, 0.70905) = -1.03147
evaluacion 80: f(-0.0930438, 0.70905) = -1.03147
evaluacion 81: f(-0.0930438, 0.70905) = -1.03147
evaluacion 82: f(-0.0930438, 0.70905) = -1.03147
evaluacion 83: f(-0.0930438, 0.70905) = -1.03147
evaluacion 84: f(-0.0930438, 0.70905) = -1.03147
evaluacion 85: f(-0.0930438, 0.70905) = -1.03147
evaluacion 86: f(-0.0930438, 0.70905) = -1.03147
evaluacion 87: f(-0.0930438, 0.70905) = -1.03147
evaluacion 88: f(-0.0930438, 0.70905) = -1.03147
evaluacion 89: f(-0.0930438, 0.70905) = -1.03147
evaluacion 90: f(-0.0930438, 0.70905) = -1.03147
evaluacion 91: f(-0.0930438, 0.70905) = -1.03147
evaluacion 92: f(-0.0930438, 0.70905) = -1.03147
evaluacion 93: f(-0.0930438, 0.70905) = -1.03147
evaluacion 94: f(-0.0930438, 0.70905) = -1.03147
evaluacion 95: f(-0.0930438, 0.70905) = -1.03147
evaluacion 96: f(-0.0930438, 0.70905) = -1.03147
evaluacion 97: f(-0.0930438, 0.70905) = -1.03147
evaluacion 98: f(-0.0907698, 0.70858) = -1.03149
evaluacion 99: f(-0.0919961, 0.713641) = -1.0316
