primera evaluacion f(1.39858, 1.23437) = 7.20205
evaluacion 53: f(-0.0561472, -0.726844) = -0.943396
evaluacion 54: f(-0.0561472, -0.726844) = -0.943396
evaluacion 55: f(-0.0561472, -0.726844) = -0.943396
evaluacion 56: f(-0.0561472, -0.726844) = -0.943396
evaluacion 57: f(-0.0561472, -0.726844) = -0.943396
evaluacion 58: f(-0.0561472, -0.726844) = -0.943396
evaluacion 59: f(-0.0561472, -0.726844) = -0.943396
evaluacion 60: f(-0.0561472, -0.726844) = -0.943396
evaluacion 61: f(-0.0561472, -0.726844) = -0.943396
evaluacion 62: f(0.101459, -0.692924) = -1.02777
evaluacion 63: f(0.101459, -0.692924) = -1.02777
evaluacion 64: f(0.101459, -0.692924) = -1.02777
evaluacion 65: f(0.101459, -0.692924) = -1.02777
evaluacion 66: f(0.101459, -0.692924) = -1.02777
evaluacion 67: f(0.101459, -0.692924) = -1.02777
evaluacion 68: f(0.101459, -0.692924) = -1.02777
evaluacion 69: f(0.101459, -0.692924) = -1.02777
evaluacion 70: f(0.101459, -0.692924) = -1.02777
evaluacion 71: f(0.101459, -0.692924) = -1.02777
evaluacion 72: f(0.101459, -0.692924) = -1.02777
evaluacion 73: f(0.101459, -0.692924) = -1.02777
evaluacion 74: f(0.101459, -0.692924) = -1.02777
evaluacion 75: f(0.101459, -0.692924) = -1.02777
evaluacion 76: f(0.101459, -0.692924) = -1.02777
evaluacion 77: f(0.101459, -0.692924) = -1.02777
evaluacion 78: f(0.101459, -0.692924) = -1.02777
evaluacion 79: f(0.101459, -0.692924) = -1.02777
evaluacion 80: f(0.101459, -0.692924) = -1.02777
evaluacion 81: f(0.101459, -0.692924) = -1.02777
evaluacion 82: f(0.101459, -0.692924) = -1.02777
evaluacion 83: f(0.101459, -0.692924) = -1.02777
evaluacion 84: f(0.101459, -0.692924) = -1.02777
evaluacion 85: f(0.101459, -0.692924) = -1.02777
evaluacion 86: f(0.118932, -0.713799) = -1.02837
evaluacion 87: f(0.0791244, -0.71177) = -1.03118
evaluacion 88: f(0.0791244, -0.71177) = -1.03118
evaluacion 89: f(0.0791244, -0.71177) = -1.03118
evaluacion 90: f(0.0956926, -0.712143) = -1.03149
evaluacion 91: f(0.0956926, -0.712143) = -1.03149
evaluacion 92: f(0.0956926, -0.712143) = -1.03149
evaluacion 93: f(0.0956926, -0.712143) = -1.03149
evaluacion 94: f(0.0956926, -0.712143) = -1.03149
evaluacion 95: f(0.0956926, -0.712143) = -1.03149
evaluacion 96: f(0.0903892, -0.716529) = -1.03151
evaluacion 97: f(0.0903892, -0.716529) = -1.03151
evaluacion 98: f(0.0903892, -0.716529) = -1.03151
evaluacion 99: f(0.0903892, -0.716529) = -1.03151
